pattern_id,normalized_pattern,example_source,count,sample_seg_ids
pattern_dd8c5c568259fc99,Differentiate: (2x + {n})(2x + {n}),Differentiate: (2x + 2)(2x + 6),2,24716064c0a0fadaca403298bd99bf205776be0d9063a22acaf5ad1051346012 | 88bc8511a5b16722d9a1b772b9857aa4a3ae21f5f713d1c0a59172e21dce4024
pattern_2994f415cb299217,Differentiate: (2x + {n})(3x + {n}),Differentiate: (2x + 5)(3x + 0),2,7b6623b0e1f3f91fb2be23cdbc53a1888d45e6933811722a57dbb2b847c8517c | 62b528ebe4ee6f61cf5d12caf0e6942e5c62ac5bf9bfd67d67f29fde0c2dbbab
pattern_321e400046660d44,Differentiate: (2x + {n})(5x + {n}),Differentiate: (2x + 4)(5x + 0),2,bc599552317b04f48897b7a4b324829e6b8ac8e11111e8b3acba297f08870d80 | 3089a730bf666c9dc6c8e5817dd1d4f629fb6b25dca865b2799fc2aead1ea420
pattern_a9b14c86e5e08f59,Differentiate: (3x + -{n})(2x + {n}),Differentiate: (3x + -3)(2x + 0),2,fbf5b2b2c6ba05ae420ceec1e5bba96d98f799c83853a858bdda227fec64ee2e | cc6db9bcdcfe5585f94ac8682cb91e56fce3842d4bba5646b4000b415612275b
pattern_ac321721c3d354b2,Differentiate: (3x + -{n})(4x + {n}),Differentiate: (3x + -4)(4x + 4),2,9ecf0696fa9cc92d83da2eda98c3ae9cac82a9e4b6d4d341d8848192c2294bb5 | e90550521c0a4e7da3ba15459a5084051e7ae2737110f205f22c084186d88e33
pattern_d9110b4509611ce2,Differentiate: (3x + -{n})(5x + -{n}),Differentiate: (3x + -2)(5x + -4),2,a6d11af7fbcbd54cde9fa6622670f4c779e602da5d2b76df1da488c9d197eeb2 | d9efcae7014fbdfb65359d2e4673c0cc10f6391e862e461df2c1b5b6270b4200
pattern_136f14551104274a,Differentiate: (3x + -{n})(6x + {n}),Differentiate: (3x + -3)(6x + 6),2,bef8884b802e094331b1375f35ea6f8ff5d1965aaabf9d6f2f72833db3be90a7 | 8f54829adff53815cc21910b1726b964c45e54e9065621e76000188394178949
pattern_914bb1f5e92cdb52,Differentiate: (3x + {n})(1x + -{n}),Differentiate: (3x + 1)(1x + -2),2,5e1cd45461b777ca9afc118c812fb28f770036f95eedb3fff574bca272c33832 | 67ef88acd2e02454c1c0f9397f3a90e19b8f6e011aae99b2368b4b0a5241be47
pattern_ee4c62d4cb37c14e,Differentiate: (3x + {n})(1x + {n}),Differentiate: (3x + 1)(1x + 3),2,8b37f034d7d24472f5c516a0f556368d8804604d05eea4772c8acaac0179daac | 3b43dd9fa498465b202df862d9f375ef52fa9443c6f59d8fc870f316462d694b
pattern_0a84047e8d960722,Differentiate: (3x + {n})(5x + -{n}),Differentiate: (3x + 1)(5x + -1),2,898f4b9c8ec09eaf02460c32000229fd9614371fe9673fa9441f1d61958f31ce | 88be2e9cef7a862bc4f2a9500902a19c8af65546b8123dad9457a51891361254
pattern_0a75e9c6aa0cc741,Differentiate: (3x + {n})(6x + -{n}),Differentiate: (3x + 1)(6x + -1),2,04dbc5f89f3a0c8e9ea12c0010244d7fd0effdeb64627d0fe7b41a409483f1be | eb1cab1016b7de3c78cf7b70693d0de335f1d843efe7a7df2b3de4342dc17dc9
pattern_eb2121f51568f1d4,Differentiate: (3x + {n})(6x + {n}),Differentiate: (3x + 1)(6x + 3),2,07fc3f99f08019bdea2ce19fc1db3bebccda03b8adb9bd22c01dd92e98a4b7da | 820643afa07589e7af4561f7ca20fe80fddcf35de446ad450e935240388dfb93
pattern_bb82b0ca9009934e,Differentiate: (4x + {n})(6x + {n}),Differentiate: (4x + 5)(6x + 3),2,5dcb1d14432935550ceda12851fadd376f9fb964f69c5aa64a5b401043519810 | 693458cabf4725446de34ce9c59e49c631829622d9e29e07056a9dd67780acb9
pattern_9ecbc3a3099ce636,Differentiate: (5x + -{n})(4x + {n}),Differentiate: (5x + -2)(4x + 6),2,a393a2c96c0d087f201ccfade5e47f43771d5fd1c0002a4d4290fd6bce664d58 | 69fa0ffe00678d993296f64ce51db981a21ca903bcb4dae49c3e02060d4e706d
pattern_f0a282d06117a78d,Differentiate: (5x + -{n})(5x + -{n}),Differentiate: (5x + -3)(5x + -6),2,087bdabeb5eb1ede14ffc7ff5a98fb6904bc75af600f0401e019d25d0673ac1d | e7a1416685e1ce3959d0c0f61dafd626e33732366e43cc59f75a5fa9acd87f91
pattern_77fe2e2cab8c78e7,Differentiate: (5x + {n})(5x + -{n}),Differentiate: (5x + 4)(5x + -3),2,a688f398b0875b2a9be472a59a4183d21c1790fbc2e25bfd95edfd33784977d5 | 64fd14a52c125572b4546dc56a85a4c59c96194ee76582207b8ec5b7885437c1
pattern_81ee18ff3572d3d6,Differentiate: (6x + -{n})(4x + -{n}),Differentiate: (6x + -3)(4x + -2),2,8d22c1fe885785a8fda1ba97818d14f9f23b41bef2faf817e5cf827224313a8b | fb18a0f1672baf8cbff8943551ef0b5a29f2761e6e54837ffa22095c7f71df40
pattern_41792d59ee917781,Differentiate: (6x + -{n})(5x + {n}),Differentiate: (6x + -3)(5x + 1),2,248fd0d05c4e6d97f8b1eecb6117ec197868d88edef875ace93e536abf54b413 | e81627560452a9d69222ed9f684a29759a1c1eab7d76cc04a1904247c3f46198
pattern_90d2c607d34cdfcd,Differentiate: (6x + -{n})(6x + -{n}),Differentiate: (6x + -1)(6x + -1),2,d2a91cec7fc11e7ced3be88dce0b2eb0494c910251b076a990a6061f186fe097 | 478427834c86207a462497fc7a54b83871422172839c2f16a5c8425a3c4d9680
pattern_6a6d4b7767d7fcb2,Differentiate: (6x + {n})(5x + {n}),Differentiate: (6x + 1)(5x + 2),2,d0f26e4b245318af6140656e7a2ccbca48513920b43d2bb595309303b76a28b3 | 36aec0e05df235b87a13c7dfa6a3152075edc9f6b70b55431cfdd1c41671911c
pattern_8cf768fd69e63aee,Differentiate: (6x + {n})(6x + {n}),Differentiate: (6x + 4)(6x + 6),2,cc8ba416336ca17e0dce2272be074feb06c8b935afa03995adcb28c24623c4f1 | 5da90f70cc6b8342961916ef9603b76d1ab407bbca1a8168bdc3abba649e391a
pattern_eab25fb4cefe7948,Differentiate: f(x) = (-1x +{n})(-1x -{n}),Differentiate:  f(x) = (-1x +4)(-1x -4),2,8a886ce5c04de28e33484e72d3dac85d6c9975c572f03a569a2075d2119d7fb2 | a78267b4d0be27021651dee1c2b7a6cce5fce94bc413e881576b94f704904107
pattern_8109bf0360afe5b5,Differentiate: f(x) = (-1x +{n})(-2x +{n}),Differentiate:  f(x) = (-1x +1)(-2x +1),2,ea283b63ffd38d92ead1ccb754b625cec3ba8917000e4a3d591dffaf9c775711 | d7b3ce5cdbfc79bef9e1cbe312c2bebfdd5b77b90e64a58abeceb998ba75de6e
pattern_51e1ff95082399d7,Differentiate: f(x) = (-1x +{n})(1x +{n}),Differentiate:  f(x) = (-1x +2)(1x +3),2,7f7a5b7107b81409d1efbdc0bb39e756f26b7b643486aea2e697a3aaa2e65cb0 | 945a125515a2ad1949e32d59819055a910d700f0b690ba7acf077942bb14f037
pattern_d8bf0f9fcd2ca15a,Differentiate: f(x) = (-1x +{n})(2x -{n}),Differentiate:  f(x) = (-1x +4)(2x -2),2,12cb4e2d478c869e1b57f2f54d887ec2a97588fa4023a61bd18eb086df58a3ff | 13a8f6d61c38aa95a8823a87bfd1c6e7db98959d5ddd3f99333a6d08173d6a62
pattern_52a69128f5472c0c,Differentiate: f(x) = (-1x +{n})(3x -{n}),Differentiate:  f(x) = (-1x +1)(3x -1),2,caa826b873728572365920322f0ced0d8091db014ce1600733b752cda2e78fb7 | e6cbba69db4fb6b8705b0a057082a01ea5ece8a46a746ae4f3599949955d4e12
pattern_983fb8562d71e4f7,Differentiate: f(x) = (-1x +{n})(4x -{n}),Differentiate:  f(x) = (-1x +2)(4x -5),2,6a2409a0b657190f92ebeaa9ce72fcdb18d746a32e8103625476c7fd3388b908 | 8278728d1673bb0e5dba4327197d642e34e83efa90b5f04fb6c1ddf444ec100b
pattern_2bc38d772dc1f7db,Differentiate: f(x) = (-1x +{n})(5x -{n}),Differentiate:  f(x) = (-1x +4)(5x -2),2,560bc72738acc091b1657ae97f54569d05d47bf8f52ab5fafc30248aa418103f | 0a13dbeebcea0ff2575b54b8fcafc2f4e1277cf4d402a63edfceb7095ba0841b
pattern_5069396289240392,Differentiate: f(x) = (-1x -{n})(-2x +{n}),Differentiate:  f(x) = (-1x -1)(-2x +0),2,5c9aeead51912456fb38c213314aeab6d602911c6068ce4c87b2e26f5173982c | 4bf857e21239344d2b7f1a8f79faf7c00c049dcca845ef47397e3423ee4c7ad4
pattern_46834dda11be04c6,Differentiate: f(x) = (-1x -{n})(-3x -{n}),Differentiate:  f(x) = (-1x -3)(-3x -6),2,70d49ee411d8eeac31a1b4e02584644d2f0e66eb6c7b7cb43a5fa91efacabbfa | 32e2cb27a7f900ed95e484e29965e72dc6aa0c1ac32f1795bf1ffa08578a23b5
pattern_0bfa068750a542e9,Differentiate: f(x) = (-1x -{n})(-4x +{n}),Differentiate:  f(x) = (-1x -4)(-4x +2),2,63c00f411477120ac230c86c1f960145e93096e8ac4be1b05322ebf7b64644f8 | 7ed67a85fc353c41bd941ddce650239b6cefb5d231d6b7b23aaed5194a0359e0
pattern_af4d29df732927a4,Differentiate: f(x) = (-1x -{n})(-4x -{n}),Differentiate:  f(x) = (-1x -3)(-4x -2),2,8f68b1c680fcc99ad57173b84f18580a12883d03a416ced58e1cebeb3fec05e2 | ae466d2e715c1e823404d8210d5302a969c29356f10750d394aa22b49de485a7
pattern_124e78f0453b0b6b,Differentiate: f(x) = (-1x -{n})(-5x +{n}),Differentiate:  f(x) = (-1x -2)(-5x +6),2,fccfe12ec6863900fa123b4a13a027be6509dbc1ab5009d37ec5f412cfd0c646 | 71a48bcc2331007391232a45946f9565ffc1960f526b47a1af60092a5b790d2d
pattern_b1b390a99d3a5d9a,Differentiate: f(x) = (-1x -{n})(1x +{n}),Differentiate:  f(x) = (-1x -1)(1x +1),2,fad5942d4a68770d55526ea531a5732ced801650b3cd4e1658fe92aa568ecb44 | dbc35274fd8f79029b8c0085fd25b103fed472e3e37102adf21e1a0e5cc6b57f
pattern_38c68752d764c2a7,Differentiate: f(x) = (-1x -{n})(3x -{n}),Differentiate:  f(x) = (-1x -5)(3x -2),2,c69206645ecd354bef3bc1d2daaf18a1e08c55a874842c286b527809a6be2a17 | 4b5b914e85b807a8e665d677ca7312dbe0dfac28431c0ebbea82f02092289731
pattern_006340476175f73e,Differentiate: f(x) = (-2x +{n})(-4x +{n}),Differentiate:  f(x) = (-2x +5)(-4x +0),2,cb175afd936a99e0b77e7e48dc2ca830af3dd590a6be6e663efb45e224c4b50d | 5deec4de03c456866110343e537682b4ed7cb0ae8c2fe899b1d0ab408cf99fbf
pattern_387d4070827fb201,Differentiate: f(x) = (-2x +{n})(-5x +{n}),Differentiate:  f(x) = (-2x +0)(-5x +6),2,01e5c9cf11fabfa80fdcf0670f5f561fb63bcab042c373f01d930a5db08fe46a | f8f9841ded11128596ec37a2496530ace4df22454f4a67626066b2afee92b1bf
pattern_2f438cf0d1a63bb8,Differentiate: f(x) = (-2x +{n})(1x +{n}),Differentiate:  f(x) = (-2x +1)(1x +6),2,19c71ee58973c289f0db268e4b93648c97f2231b07dbd4725bf496e6542ef290 | 2ed9f967534089b083523819c251878dba5c69ab1c4549b1f636807438e94852
pattern_086a0be3a18eacca,Differentiate: f(x) = (-2x +{n})(2x +{n}),Differentiate:  f(x) = (-2x +0)(2x +6),2,0b1406c13bd491b4c436c9723ac11d3250b5e97e3da8a2ac1e2e1f59c14e0224 | b7d332d634916e830a345e9feec7c8e23c63c0799b22a4983fe89ea5fa62b8c1
pattern_b4552d0b37ad697c,Differentiate: f(x) = (-2x +{n})(4x +{n}),Differentiate:  f(x) = (-2x +1)(4x +6),2,cb079ed3bb66ded4abda53a9dd797cd71c4dd89f470935df27a5ab2776347db9 | 51d473043248fcae583c37041b16531a819616ca4082484b02649bf996e6cbe1
pattern_829e8ead382f44ee,Differentiate: f(x) = (-2x -{n})(1x +{n}),Differentiate:  f(x) = (-2x -3)(1x +6),2,361878c60068d5a5ad73a32e318bcc728f0143d4badd1d4334cfa3b5ad4b1146 | 543fcb26a6e83d6f574198a0f1f5a134e5d1e72406b0fd7a6a4a8c04217a736d
pattern_9db60d1c8b5c41bc,Differentiate: f(x) = (-2x -{n})(5x +{n}),Differentiate:  f(x) = (-2x -3)(5x +5),2,63b81476590b37cc5bc118bddfce0acfeea920b9a5c9f13fc39eef4efa8c7361 | ac18b33f2e44181662a9e54f505d12a036cf690c51bb5e0a43eb283482c1b319
pattern_8749020cab2ae8e0,Differentiate: f(x) = (-3x +{n})(-4x -{n}),Differentiate:  f(x) = (-3x +2)(-4x -5),2,06d4470636275064b45004cf88ea848666d052e6271a5e4e0e4ea221f654ce0f | c55e6b37f8ff7d39275a4ec2f5f67b2a6cbcf367b5d010f7a7f99dd3a72c8bd7
pattern_d93ddfdc4bdf7e80,Differentiate: f(x) = (-3x +{n})(1x -{n}),Differentiate:  f(x) = (-3x +0)(1x -1),2,6fb571d0aabdd864d5030ea40b8dcf97fe2f27ed25c365b740a1bae6df66f7ce | 407440e2b3fc6d7261c789c7bd612732fe6f89bf3844ede47935039ca13d34d2
pattern_cca471cc818202ae,Differentiate: f(x) = (-3x -{n})(-5x +{n}),Differentiate:  f(x) = (-3x -3)(-5x +5),2,31062f8e4492198d5ff32ae811e621b1666a90a56178ae8ffd820cc0acbd3cd3 | 6e22cf59e03f23b5221f4ef9d5c69832705a26533f944cc49d98f062b581421f
pattern_9d282cf16f4bf636,Differentiate: f(x) = (-3x -{n})(2x -{n}),Differentiate:  f(x) = (-3x -5)(2x -5),2,738d93c8471750813f5eca14a26ac1bf2539ad93f9d2520cb454a3fa0a014742 | f3ed859d7f9af038bbaa9e32ad13a03f790ab071c811efb8c9f738e54e9bb0ac
pattern_e601993c7918e41a,Differentiate: f(x) = (-3x -{n})(5x -{n}),Differentiate:  f(x) = (-3x -2)(5x -5),2,79df16aa98b954a6739289e7a08130b2933dc077cda1e2b303de5debecf6aebc | c416c2466ec4a6371fba4ec3e975cac12d07d5362537e7eb2cf07791ac30b738
pattern_5f4ba298a760365d,Differentiate: f(x) = (-4x +{n})(-2x +{n}),Differentiate:  f(x) = (-4x +2)(-2x +3),2,e5ae2c4f580177067fc956646693dff0695a64b60830c2c2594a41d8cea9d604 | 6c54b2e240616ed9061d0f10b666848de227b23284c6ac93d0cdc054c7002c7e
pattern_6642094e24294200,Differentiate: f(x) = (-4x +{n})(-2x -{n}),Differentiate:  f(x) = (-4x +3)(-2x -4),2,0925c3d6ec43a851242ff2a52a4b225dd53f6a70fd2ad4eb2c443ed2da6e641d | 9b6eab181b91205afa92f99fd4abf5d9eb0db2fd096f373637f487a5f92ed9d8
pattern_dd558813d5a2121f,Differentiate: f(x) = (-4x +{n})(-3x +{n}),Differentiate:  f(x) = (-4x +5)(-3x +0),2,c523871088b6bee44f0667b7e0cbbb29a42b14b8060d1f37d7c12f77e1309c9b | 09235669613983bbb85645dc51023ccdf36ffe2704bba1f7b96dcd87750bd9fa
pattern_26b3d3dd375658ac,Differentiate: f(x) = (-4x +{n})(-4x -{n}),Differentiate:  f(x) = (-4x +1)(-4x -2),2,19de35fccf26f2eafd5d6f6794a9aa5a3fc8579a76116d3e2fd155429b007157 | 13a6770737a302629a62d0803130a6d3b93e40ffe1a8a1ca67dc24ae2c6160f7
pattern_b74302a20983a120,Differentiate: f(x) = (-4x +{n})(1x +{n}),Differentiate:  f(x) = (-4x +0)(1x +2),2,68f87dc78d79e8be1639282f3906302f2e4131666a2ef0366dff455beb2d6dff | f486637736afb5411daa5051aad7825cd94c634b2133499d3f1a83fbc6295d57
pattern_911e12bf08db940b,Differentiate: f(x) = (-4x +{n})(2x -{n}),Differentiate:  f(x) = (-4x +3)(2x -2),2,efb4b351e2dfb5058d4e17da377c01f706b22349b5651bcbaad4ad749602691f | 18dbdd038fd29a8ac83ca0b30a3549c2f331dcbe23e11a5ba6cfe51503f74238
pattern_50e0f8896131192a,Differentiate: f(x) = (-4x -{n})(-1x +{n}),Differentiate:  f(x) = (-4x -2)(-1x +0),2,0eb1ae56fbe6a5ecf46a613ce62094d9d5b6ed4962093c7a7851cfd0b7bf085d | 62c0f63f7fb8eadf5cf235a60c9b5151f30234acc1ac4f75c9c97579e9b70cd9
pattern_fedbf8708ac10e5e,Differentiate: f(x) = (-5x +{n})(-3x +{n}),Differentiate:  f(x) = (-5x +5)(-3x +4),2,3e8adab33d675e1426b8144ff14ab08a35c5bbd501785b8e5930ff8a59100f7c | aa8fcc3e0a8e074b969375ed44ed96cf34f3faa95d651354bba609127733b014
pattern_27c2f5a10336ab4c,Differentiate: f(x) = (-5x +{n})(2x +{n}),Differentiate:  f(x) = (-5x +2)(2x +6),2,675f949903b7c71de3d57a4499006cbc4fef4e2053f95eb3ae3e25944104d352 | 5d0c0e067c6488b3bc6c48f7e445b3167b880c34cba600f84a09da179f796f56
pattern_e5e3aeb7e43cdd4c,Differentiate: f(x) = (-5x +{n})(2x -{n}),Differentiate:  f(x) = (-5x +0)(2x -5),2,d8cc74453d7a213b4a18e6d85d6aaec0d3f321fb6f28d1512ad05706caf5b6af | 8783595c93a568479bd2987675155c4c8deaa8da6baa38c2f1a7d8803f99e542
pattern_4d33185bb322cd36,Differentiate: f(x) = (-5x +{n})(4x +{n}),Differentiate:  f(x) = (-5x +0)(4x +5),2,ca65a4bf334660494a4c03129edff6198512426335cb5bdcadaea8eae1a161a8 | 76aa51a7969be19b7f9b9841fc8fe1374b4f31a6be04bf4faa6bb9484a136021
pattern_6b01a745269574f7,Differentiate: f(x) = (-5x +{n})(5x +{n}),Differentiate:  f(x) = (-5x +2)(5x +2),2,a3b6dab67e3e2227f68227575e3ec66d7412a833b359dbbd3a28e29b0b662347 | a193e542e907db4692e76cf3d5954620cd67de06895a7d4174141e9445d12e9d
pattern_6eb595975867e69a,Differentiate: f(x) = (-5x -{n})(2x +{n}),Differentiate:  f(x) = (-5x -2)(2x +4),2,5e387690fc9cf7b76274ddba27dbdea0585017b49c45d5ffbbb5b03d01abc46c | 0be28329493a780524abdcf330ab0d635d378b8853ffbded3128d0f2889f37bc
pattern_56faaaa5ab79d4dd,Differentiate: f(x) = (-5x -{n})(2x -{n}),Differentiate:  f(x) = (-5x -5)(2x -1),2,0dd1db53e29c3c5288e5e9a4d0e284790daa9bef83f4d78d71f746c17dcb022f | 544f6b39936f45bfd820b2e6bc4120579cb1230211f27bf0219cbca1a59299d1
pattern_c58b85d654a8cfce,Differentiate: f(x) = (-5x -{n})(3x +{n}),Differentiate:  f(x) = (-5x -3)(3x +3),2,24ec35171cafb9e53aa1ce489854019a58f9bf0a05c03e9b439f6a9ecdbc2999 | 6634f244b0a05fee3b2dd92f6e2e9cf1fc0db3af3589f48d851018a6196e2121
pattern_2a8f3c32c173b8a7,Differentiate: f(x) = (-5x -{n})(3x -{n}),Differentiate:  f(x) = (-5x -3)(3x -1),2,e1d5719575d01f1436d4c6338d1337113d1f156a3822ac92052867617edbfe83 | dd0d911a46911a760f8ad8273011a8c47c8dda08be5c46a1dd710aff779792dc
pattern_d095677ceb57c4a6,Differentiate: f(x) = (-5x -{n})(4x +{n}),Differentiate:  f(x) = (-5x -4)(4x +4),2,1c578a0db855216868907045fbc12faba6b6d993a5cc5667da867cc135aa21e9 | 796a8f14f6dbd35492addbdac99db81322e104f31ce4c7903d2092ba715eaf6a
pattern_e357804674598c55,Differentiate: f(x) = (1x +{n})(-2x -{n}),Differentiate:  f(x) = (1x +6)(-2x -3),2,88ee5770f17bddb2f052317bbde474b66b938a51a3c65192808768a4385b06d3 | 2aad104453447012528483cc4143eaf201e19b00914eb3856a1ca2e4d6823283
pattern_d33671987f0be244,Differentiate: f(x) = (1x -{n})(-1x -{n}),Differentiate:  f(x) = (1x -2)(-1x -3),2,45394ab97bb43213f962b859b26a72d7a502730c30fa198246b1d60ce86146fe | 428280483de818b541d5fc17cf867352533ae805d37e4772b80c8445106710dd
pattern_fd795b6da269326e,Differentiate: f(x) = (1x -{n})(2x -{n}),Differentiate:  f(x) = (1x -1)(2x -6),2,8bd8f9bfac62d76bd9021abc5ae539dc2ce96494d771829d52a642b30c0690d2 | 0cf775d825490df8105e2af006d0fbc47b7459e2fa02e27411db414ceb943b97
pattern_23ad2dc21e90d195,Differentiate: f(x) = (2x -{n})(-3x +{n}),Differentiate:  f(x) = (2x -4)(-3x +2),2,28da591fa67b4f650169cabf81cedf4f438c6bcb96cb29751de2bd10ff609b65 | b730633a1e6fcc48587d82c1b0370cc0e2b321eaf7ae32cf6a5e38e963cf4f4a
pattern_27b711e6a1caa9f9,Differentiate: f(x) = (2x -{n})(-4x -{n}),Differentiate:  f(x) = (2x -4)(-4x -1),2,b0a6413229ee78716850a7568d6338ff27b0a2f0547255b0fce90a5c673a8fbd | a52db8fce282f9222bdf5fad5e74b1acaffbcc9f868e6abfbe81a79ff751d91c
pattern_321bd422ad990d7d,Differentiate: f(x) = (2x -{n})(4x +{n}),Differentiate:  f(x) = (2x -1)(4x +0),2,5e59e3c49acfc525ae551001e5c76c58f76383ba72c7520cc2824397f4860cb1 | 500ac468b4e152c0ca565c39b2185c235c6b43ac30112ee71931645e874ff4c0
pattern_f807275580208ea7,Differentiate: f(x) = (3x +{n})(3x -{n}),Differentiate:  f(x) = (3x +2)(3x -3),2,f1caf79de9703149fc26cb2e97a8f1b38432eb9b9a22ad52eaa2d7eb237b132c | 96c4640eb84bd4750b8459a6e1afd8b55d4e1eee85f05efe8670fb5267fb6a32
pattern_b4f389f97fae166e,Differentiate: f(x) = (3x +{n})(5x +{n}),Differentiate:  f(x) = (3x +3)(5x +6),2,f6b272f76a5fbd85baa9734ce5c8e01d7cf63bac17aa331060cd789b61af96e7 | 5c51859fe42fa5516c90ba0bacca280b512c0b14c934179f3588d28d33c21889
pattern_d506830c465fef12,Differentiate: f(x) = (3x -{n})(-3x +{n}),Differentiate:  f(x) = (3x -4)(-3x +5),2,0543a38779ecea646a842278ec721d8b6d57ed61edb52f717cdbc152bae04581 | 0b615ed8a41a2000b30f8a7b50e2bcb2aecf6b49a7610c4ea67066454b7037db
pattern_b7d6f28eab139b50,Differentiate: f(x) = (3x -{n})(4x -{n}),Differentiate:  f(x) = (3x -1)(4x -5),2,d823915e9e32f8b0ad582c9d8628dbde6ca5108d778d3d6d3e8e5d6928c8364c | ff187c599e1aa395c60798006c4e8035f8bf51b99fe91999696e9db3917f3ba1
pattern_7035edfba2af68f9,Differentiate: f(x) = (4x +{n})(-3x -{n}),Differentiate:  f(x) = (4x +3)(-3x -2),2,3971a695886d66b7727805253ff4515587b019db07bf5f38a03870a9c1b17562 | e458effb082bd7ffde3c96d9fafae92b8ea5131472e0a7e6abcb215f0681a51f
pattern_fa41bc87f3656733,Differentiate: f(x) = (4x +{n})(3x -{n}),Differentiate:  f(x) = (4x +3)(3x -4),2,082392d918c50907ea651ef5e2a5dbb337e66704c525d6b2f2ce39b11b2f3fd4 | ee1800af14f712539fa3683eb1a120665b977992cb7736ae15863c164e7f25c7
pattern_e8f9441c1ace8088,Differentiate: f(x) = (4x +{n})(5x -{n}),Differentiate:  f(x) = (4x +4)(5x -4),2,52eabb96098928d7da2c73d85c2a20fb93cf0417dd5557332ed47085508838ea | 4407666bc53bb5056b5787be8518f1f1852bd2edb785245a9d663f5c4eca6cbb
pattern_22692ecc833b4f6c,Differentiate: f(x) = (4x -{n})(-2x +{n}),Differentiate:  f(x) = (4x -3)(-2x +4),2,cd0b1a6ca4d6184035168570002c0e0f98bcff1e7666fa75ee15fff68371f5b6 | 5d4c94d479d3225494a857dbaca15f11ce55527f47d915aec0d63c3fe8efd4ba
pattern_8069c7e638c83e24,Differentiate: f(x) = (4x -{n})(-3x -{n}),Differentiate:  f(x) = (4x -3)(-3x -4),2,c845d6005fde7c2633e06e767bd4622832afd261d9b46f1d2e003e442a41667a | 6cdc079af7f60b6ed60e5014a377c16398711eabe8c09eba84e32d249ae27360
pattern_ab5e84610c4cd0fe,Differentiate: f(x) = (4x -{n})(-4x -{n}),Differentiate:  f(x) = (4x -6)(-4x -2),2,8c301b5338384293890f3912fe264c2f50e3c8a063dbeccc95b13337ec433b2c | ee24432b96499cc0e6c526f5b5fa900fc1e0b6c4c7ab199a788d99d87ef210f0
pattern_e02b2c7ddf880a25,Differentiate: f(x) = (4x -{n})(-5x +{n}),Differentiate:  f(x) = (4x -4)(-5x +1),2,6b9812d8fd45a0629d8fe5b920392103ef659e4e48b41a4a5cc486b113270534 | f691434519df834cec17545dd1a1e30c6653ba6da76809f542c3313d7314a85b
pattern_b1f79093dc0fe774,Differentiate: f(x) = (4x -{n})(2x -{n}),Differentiate:  f(x) = (4x -4)(2x -5),2,3c920dc61d38c7d25e28287a09d6c0f3143f6f3c0239ce1c24dc7dcb09212ae2 | d0c28cf95eda1cc2aa2a8584e3d17e223c4acd7dec6f33431f9c9197cad00ed0
pattern_326bcd75f5ba6a8e,Differentiate: f(x) = (4x -{n})(4x +{n}),Differentiate:  f(x) = (4x -3)(4x +0),2,9fab51c524a9b9f88e7805ad33de4bbbf70422f50d3a3e7be67472802a550fb0 | 1f463cf86521ae3d7a06a206c37f681ea1eab40a7cce9df1c27c0334bc312b84
pattern_d166e7708fdcd843,Differentiate: f(x) = (4x -{n})(5x +{n}),Differentiate:  f(x) = (4x -3)(5x +5),2,72a42468fbb206d03303e2c905a7fd2e096132fbce3d49401f9308ed03ea98d0 | 6e079dabe58c566b96a152176f76982d162570185c482485b17eda92d26ae7bb
pattern_c74ddb10316aeb7c,Differentiate: f(x) = (5x +{n})(-3x +{n}),Differentiate:  f(x) = (5x +0)(-3x +5),2,5f42637453db03b81b9dc7473a8c1b4c35586071e407562d2ff3f0098e3cf7f0 | 9e2cf27ec152f16cee1841d10d4b9b3c12531ef8672a8fcbc1ec798ffd6bf587
pattern_07087e8812953479,Differentiate: f(x) = (5x +{n})(-4x -{n}),Differentiate:  f(x) = (5x +2)(-4x -2),2,5e13f0ee6dd0b33b509b9509f2e09bcf7497aec6637032f78767f8ac8d78657e | 5930c470668c9093e47c61319fd57555cc7fb9f80c784b30fad796277fca2c48
pattern_005660d22c5c1b6a,Differentiate: f(x) = (5x +{n})(-5x -{n}),Differentiate:  f(x) = (5x +3)(-5x -3),2,0a0e47f9489d8a013b32141f1b988629356002b0f21821a136fdecfd406a4ddd | 61fdcc4ec5d2ceff4f60d71c8d6be65440760e902245c7c33170629f948b5548
pattern_e669bc34f91d5a35,Differentiate: f(x) = (5x +{n})(2x +{n}),Differentiate:  f(x) = (5x +1)(2x +0),2,a6cc39b45232352e46875157a29e15603b855f3456aa9504950d6482e970910c | 39a74e50d90c66f08f90972b00ec90fcafe5e0ed3ee8a7d11ba3f3dd3e459661
pattern_5d8dc6106dde99d1,Differentiate: f(x) = (5x +{n})(4x -{n}),Differentiate:  f(x) = (5x +0)(4x -1),2,24dabd156a934a81e7f4a8c6c6e04f42a07bd6dac2b6543c95467e179326635d | 8d99954c70d4bfa90f6cc65e7974703bceccdbda0b328971310fe38eadb8f896
pattern_3013c008c45e0bd4,Differentiate: f(x) = (5x -{n})(-1x +{n}),Differentiate:  f(x) = (5x -1)(-1x +5),2,576c89d631ac60b5927b48e30d92bde6672a5ea227540b629bae4d0722885893 | b8cfdf406c8e1eedf1d87875c6f0aa9f0e2f0dba5e0b07cf364196b8dec97e99
